fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
2,4,10,2.2896438041,2.2896438041,2.2896438041,2.2896438041,2.2896438041,2.2896438041
2,4,11,21.3640304782,21.3640304782,21.3640304782,21.3640304782,21.3640304782,21.3640304782
2,4,12,274.5089592345,274.5089592345,274.5089592345,274.5089592345,274.5089592345,274.5089592345
2,4,13,30.1373579114,30.1373579114,30.1373579114,30.1373579114,30.1373579114,30.1373579114
2,4,14,40.809992709,40.809992709,40.809992709,40.809992709,40.809992709,40.809992709
2,4,15,3.2530200541,3.2530200541,3.2530200541,3.2530200541,3.2530200541,3.2530200541
2,4,16,8.0418601662,8.0418601662,8.0418601662,8.0418601662,8.0418601662,8.0418601662
2,4,17,2.1587472937,2.1587472937,2.1587472937,2.1587472937,2.1587472937,2.1587472937
2,4,18,46.9814061071,46.9814061071,46.9814061071,46.9814061071,46.9814061071,46.9814061071
2,4,19,2.0226007193,2.0226007193,2.0226007193,2.0226007193,2.0226007193,2.0226007193
2,5,0,116.2088791764,116.2088791764,116.2088791764,116.2088791764,116.2088791764,116.2088791764
2,5,1,9.245338541,9.245338541,9.245338541,9.245338541,9.245338541,9.245338541
2,5,2,2.2385679135,2.2385679135,2.2385679135,2.2385679135,2.2385679135,2.2385679135
2,5,3,9.6478674458,9.6478674458,9.6478674458,9.6478674458,9.6478674458,9.6478674458
2,5,4,1.2030340299,1.2030340299,1.2030340299,1.2030340299,1.2030340299,1.2030340299
2,5,5,8.3212092101,8.3212092101,8.3212092101,8.3212092101,8.3212092101,8.3212092101
2,5,6,9.8353544555,9.8353544555,9.8353544555,9.8353544555,9.8353544555,9.8353544555
2,5,7,0.8982869192,0.8982869192,0.8982869192,0.8982869192,0.8982869192,0.8982869192
2,5,8,230.4205222623,230.4205222623,230.4205222623,230.4205222623,230.4205222623,230.4205222623
2,5,9,0.0148390424,0.0148390424,0.0148390424,0.0148390424,0.0148390424,0.0148390424
2,5,10,4.3242049172,4.3242049172,4.3242049172,4.3242049172,4.3242049172,4.3242049172
2,5,11,3.3765174767,3.3765174767,3.3765174767,3.3765174767,3.3765174767,3.3765174767
2,5,12,7.0510400901,7.0510400901,7.0510400901,7.0510400901,7.0510400901,7.0510400901
2,5,13,25.2921831709,25.2921831709,25.2921831709,25.2921831709,25.2921831709,25.2921831709
2,5,14,218.8261143926,218.8261143926,218.8261143926,218.8261143926,218.8261143926,218.8261143926
2,5,15,24.0765547691,24.0765547691,24.0765547691,24.0765547691,24.0765547691,24.0765547691
2,5,16,0.4794895808,0.4794895808,0.4794895808,0.4794895808,0.4794895808,0.4794895808
2,5,17,2.3067440581,2.3067440581,2.3067440581,2.3067440581,2.3067440581,2.3067440581
2,5,18,0.2256652316,0.2256652316,0.2256652316,0.2256652316,0.2256652316,0.2256652316
2,5,19,6.5438288629,6.5438288629,6.5438288629,6.5438288629,6.5438288629,6.5438288629
3,1,0,29.1561133004,29.1561133004,29.1561133004,29.1561133004,29.1561133004,29.1561133004
3,1,1,2.9848771713,2.9848771713,2.9848771713,2.9848771713,2.9848771713,2.9848771713
3,1,2,15.9193096033,15.9193096033,15.9193096033,15.9193096033,15.9193096033,15.9193096033
3,1,3,8.9396107455,8.9396107455,8.9396107455,8.9396107455,8.9396107455,8.9396107455
3,1,4,4.9747902476,4.9747902476,4.9747902476,4.9747902476,4.9747902476,4.9747902476
3,1,5,2.9848771713,2.9848771713,2.9848771713,2.9848771713,2.9848771713,2.9848771713
3,1,6,8.3961652583,8.3961652583,8.3961652583,8.3961652583,8.3961652583,8.3961652583
3,1,7,25.8688242878,25.8688242878,25.8688242878,25.8688242878,25.8688242878,25.8688242878
3,1,8,7.9596674189,7.9596674189,7.9596674189,7.9596674189,7.9596674189,7.9596674189
3,1,9,12.9344526288,12.9344526288,12.9344526288,12.9344526288,12.9344526288,12.9344526288
3,1,10,15.9193096033,15.9193096033,15.9193096033,15.9193096033,15.9193096033,15.9193096033
3,1,11,23.8789517877,23.8789517877,23.8789517877,23.8789517877,23.8789517877,23.8789517877
3,1,12,4.9747902477,4.9747902477,4.9747902477,4.9747902477,4.9747902477,4.9747902477
3,1,13,3.9798362289,3.9798362289,3.9798362289,3.9798362289,3.9798362289,3.9798362289
3,1,14,4.9747902476,4.9747902476,4.9747902476,4.9747902476,4.9747902476,4.9747902476
3,1,15,15.7437174845,15.7437174845,15.7437174845,15.7437174845,15.7437174845,15.7437174845
