fid,iid,rep,static_B8,static_B16,static_B24,static_B32,static_B40,static_B48,static_B56,static_B64,static_B72,static_B80,static_B88,static_B96,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,static_B1000
23,1,4,0.5732998671,0.6384630152,2.1043009681,2.7853662833,2.3226736717,0.7480859489,2.5789098692,2.8395624441,1.2773254965,0.5796021774,1.9074798954,0.7636347564,1.4605353994,1.5190907564,0.9055142197,1.8349913634,2.0506402788,1.9071479822,1.9071479822,2.1872570256,2.2223944804,2.5523443677,2.5523443677,2.5523443677,2.5523443677,2.5523443677,2.5523443677,2.5523443677,2.5523443677,2.9067374433,3.1550200337
23,1,5,1.9381641153,1.3194760947,0.8518760734,1.3239418072,2.70780549,0.8374838827,1.8032881035,0.5127788161,0.1055476026,1.3542929051,1.7699683161,0.070287009,2.3912010814,0.5268300676,0.3496474349,1.6428510783,1.8382785305,1.6428510783,2.3448294689,1.2984518616,1.6428510783,1.2847609013,2.3652567603,1.8675197748,1.8709478075,2.6439247353,2.6810417476,2.6826922583,2.7025445665,3.1366141768,3.1366184479
23,1,6,0.87413014,1.870680497,1.060628957,1.8162384582,0.2577563872,1.2969923158,0.900677481,0.8212249432,1.870680497,1.332651616,1.1425788692,1.2334935832,1.0541164702,0.0105118275,0.993539139,1.1281011972,0.493010134,1.1203730991,1.1603038267,1.1865717681,1.1287912914,1.1353777803,1.1324777406,1.1311034242,1.1298165313,1.1281011972,1.1280980324,1.1281011972,1.1281235554,1.1281011414,1.1281011972
23,1,7,2.361476262,2.0363690862,1.147142297,1.8389329468,1.5852082477,1.5695557382,0.0450750665,1.3878903136,0.0058480022,2.0338695674,1.597693773,0.1950794859,0.8979679228,0.8258718301,0.236061356,0.8017350645,0.9662479526,0.8719549144,0.3194622648,0.3194622648,0.3194622648,0.3194622648,0.3194622648,0.3194622648,0.3194622648,0.3194622648,0.3194676019,0.3206048416,0.3325887506,1.2407971489,2.0492569568
23,1,8,1.412085835,2.1556203203,1.6031896514,0.8786145306,1.2248061277,2.1070183809,1.9219612114,0.5757127829,2.12070318,2.3422800871,0.304922161,1.1778402334,0.1585532881,0.8977801051,2.3830782418,1.7987459781,1.7050664071,2.0302675395,1.7510046199,1.7688491939,1.8256138819,1.8258590749,1.9198280892,2.0010975082,2.0025631552,2.0042361474,2.0042361474,2.0042361474,2.0175146812,2.0302666791,2.0302675395
23,1,9,1.9344624176,2.4915934858,0.5906695269,0.5538928477,0.5128895172,1.4243004436,1.0417471709,2.3307212418,1.9868687643,0.3609906374,0.9265416279,0.7437155877,0.161036458,1.759970485,2.5895131738,0.7355303455,1.5049032252,0.511658693,2.1694851778,2.1012358797,0.8724442619,2.3305142268,1.5603585115,2.3390996544,2.2646726065,2.1629678685,2.7293968791,2.9693630815,2.2522190119,2.2401275951,2.9693630815
23,1,10,1.1564191593,0.8535991825,1.4302793787,1.4302793787,0.523276049,0.8535991825,1.4302793787,2.6318735688,1.4549880466,0.6528567973,0.1662456248,0.6746134567,0.0038915923,0.1801319607,0.8363535817,0.7751543239,0.7205571027,2.4575121736,0.5692597169,1.5699584543,1.5699584543,1.5699584543,1.5701323197,1.5702057331,1.5717422216,1.572410271,1.5727793758,1.5772620769,1.5853525285,2.4575121736,2.4575121736
23,1,11,0.1452792569,0.6026518955,3.014792306,1.1427134218,1.147428178,1.9935169126,1.4125167222,1.6154787411,0.8737323183,0.5894189492,2.1403022988,0.5224953344,0.5993782221,0.9226349183,0.1137950921,1.0240892629,1.6428511452,1.622956328,1.6567873468,2.6551834945,2.0952127492,2.5776559505,2.4798404756,2.7185286355,2.7185286355,2.7185286355,1.4930356516,2.7185286355,1.5457702973,2.7185286355,2.7185286355
23,1,12,0.5201291958,0.1288672504,2.3558803482,0.4682227839,1.1431602602,2.2099928004,2.0547497967,1.0050250533,1.1540914003,1.9406178574,0.150710731,2.0602089584,1.8816681393,0.7018487731,0.937876148,1.0913889721,1.0913889721,0.7211540802,1.0476695629,1.0612064558,1.1051865038,1.083558219,1.0926681512,1.0920046526,1.0917739388,1.0913889721,1.0913899417,1.0913980504,1.0913925615,1.0913881846,1.0913889721
23,1,13,1.4139917128,2.5908283809,1.7850131993,0.3834697606,0.1978906783,0.3769778247,1.5559484464,2.2133892053,1.2231259699,1.6100546459,1.860823604,2.764642408,2.5660618648,0.6288149336,2.4308561083,2.4308561083,1.9210179008,1.4127186598,1.4127188516,1.4127188516,1.4127188516,1.4400235676,1.4127188516,1.4127188516,1.4129266173,1.4151044301,1.4151051829,1.4175177413,1.4202422311,1.7969175589,2.4308561083
23,1,14,0.961017438,0.975549117,1.9957603626,1.4098488177,1.565208054,2.5372925555,1.9974998512,2.1562644661,2.3232785209,0.1640127963,0.461741164,2.052714587,2.2721323145,0.701353059,0.6534810388,0.3444514661,1.0312853415,1.6093151908,1.9867118996,2.5188003268,1.7823011088,1.6099307954,2.5238830255,1.6104278243,1.6376370826,1.6444874066,1.6574047122,1.5061471937,2.3423899759,2.5238797696,2.5238830255
